utm_x_radar,utm_y_radar,r,alpha,az
1020,1985,147.1185671035956,-95.77248458041576,30
1020,1985,148.0413852715471,-95.6578466495336,30
1020,1985,148.89856434857282,-95.44374875017742,30
1020,1985,149.9991758786861,-95.18491516801916,30
1020,1985,150.63546799317402,-95.1494862004078,30
1020,1985,151.79490573168815,-95.04646982530654,30
1020,1985,152.56793259580454,-94.93507737317228,30
1020,1985,153.43050779852243,-94.79565260036613,30
1020,1985,154.30391254893772,-94.6412859413964,30
1020,1985,155.02876167845733,-94.52544432665098,30
1020,1985,156.06723352677926,-94.46152249203192,30
1020,1985,157.00379121413312,-94.37915058397512,30
1020,1985,157.91531657519118,-94.30543489009912,30
1020,1985,158.61056063601958,-94.27834248185158,30
1020,1985,159.5267754034031,-94.25554906356491,30
1020,1985,160.5497984805885,-94.34166120375708,30
1020,1985,161.89742251496816,-94.41755946960706,30
1020,1985,163.13964286934885,-94.39359260959934,30
1020,1985,164.1224919438624,-94.41615633547585,30
1020,1985,165.1081953171382,-94.3789246499927,30
1020,1985,166.375552072416,-94.43279218242272,30
1020,1985,167.22981741397427,-94.5346452389352,30
1020,1985,167.9556818416768,-94.56471245836978,30
1020,1985,168.86362888646286,-94.65321058201806,30
1020,1985,169.68653428789315,-94.7497461300366,30
1020,1985,170.58645073205813,-94.76927172914996,30
1020,1985,171.5883179552494,-94.80247251280902,30
1020,1985,172.69010259874392,-94.80266328914767,30
1020,1985,173.70946496985678,-94.79906652975752,30
1020,1985,174.6692844025064,-94.79349385953468,30
1020,1985,175.5966427607649,-94.78785197724164,30
1020,1985,177.2588945453115,-94.82382269372408,30
1020,1985,178.537601802451,-94.84764139748606,30
1020,1985,179.20430741669304,-94.84133806078816,30
1020,1985,180.3365731781541,-94.82251405957236,30
1020,1985,181.48095538038217,-94.92048694127412,30
1020,1985,182.09922456076208,-94.98626090480104,30
1020,1985,183.24002896919933,-95.0999985394836,30
1020,1985,184.1301515207382,-95.14572036791598,30
1020,1985,184.84276618827155,-95.23016867154853,30
1020,1985,185.64265057916887,-95.33074498794376,30
1020,1985,186.70299920494853,-95.4631787627661,30
1020,1985,187.51529580048225,-95.6120391767188,30
1020,1985,188.32270471941575,-95.8962513746762,30
